Method,Sex,Stage,Status,Confidential,Quantity Qualifier,Vice-county
,,,,,,82-East Lothian (Haddingtonshire)
,,,,,,83-Midlothian (Edinburgh)
,,,,,,84-West Lothian (Linlithgowshire)
,,,,,,85-Fifeshire
,,,,,,86-Stirlingshire
,,,,,,87-West Perthshire
,,,,,,88-Mid Perthshire
,,,,,,89-East Perthshire
,,,,,,90-Angus (Forfarshire)
,,,,,,91-Kincardineshire
,,,,,,92-South Aberdeenshire
,,,,,,93-North Aberdeenshire
,,,,,,94-Banffshire
,,,,,,95-Moray (Elgin)
,,,,,,96-East Inverness & Nairn (Easterness)
,,,,,,97-West Inverness (Westerness)
,,,,,,98-Main Argyll
,,,,,,99-Dunbartonshire
,,,,,,100-Clyde Islands
,,,,,,101-Kintyre
,,,,,,102-South Ebudes
,,,,,,103-Mid Ebudes
,,,,,,104-North Ebudes
,,,,,,105-West Ross.
,,,,,,106-East Ross.
,,,,,,107-East Sutherland
,,,,,,108-West Sutherland
,,,,,,109-Caithness
,,,,,,110-Outer Hebrides
,,,,,,111-Orkney
,,,,,,112-Shetland (Zetland)
,,,,,,113-Channel Islands
,,,,,,H1-South Kerry
,,,,,,H2-North Kerry
,,,,,,H3-West Cork
,,,,,,H4-Mid Cork
,,,,,,H5-East Cork
,,,,,,H6-Waterford
,,,,,,H7-South Tipperary
,,,,,,H8-Limerick
,,,,,,H9-Clare
,,,,,,H10-North Tipperary
,,,,,,H11-Kilkenny
,,,,,,H12-Wexford
,,,,,,H13-Carlow
,,,,,,H14-Leix (Queen's County)
,,,,,,H15-South-east Galway
,,,,,,H16-West Galway
,,,,,,H17-North-east Galway
,,,,,,H18-Offlay (King's County)
,,,,,,H19-Kildare
,,,,,,H20-Wicklow
,,,,,,H21-Dublin
,,,,,,H22-Meath
,,,,,,H23-West Meath
,,,,,,H24-Longford
,,,,,,H25-Roscommon
,,,,,,H26-East Mayo
,,,,,,H27-West Mayo
,,,,,,H28-Sligo
,,,,,,H29-Leitrim
,,,,,,H30-Cavan
,,,,,,H31-Louth
,,,,,,H32-Monaghan
,,,,,,H33-Fermanagh
,,,,,,H34-East Donegal
,,,,,,H35-West Donegal
,,,,,,H36-Tyrone
,,,,,,H37-Armagh
,,,,,,H38-Down
,,,,,,H39-Antrim
,,,,,,H40-Londonderry
